[33mWARN[0m[2026-02-08 20:08:15] not enable search                            
[36mINFO[0m[2026-02-08 20:08:15] init offline download tool 115 Open success: ok 
[36mINFO[0m[2026-02-08 20:08:15] init offline download tool 123 Open success: ok 
[33mWARN[0m[2026-02-08 20:08:15] init offline download tool qBittorrent failed: Post "http://localhost:8080/api/v2/auth/login": dial tcp 127.0.0.1:8080: connect: connection refused 
[36mINFO[0m[2026-02-08 20:08:15] init offline download tool Thunder success: ok 
[36mINFO[0m[2026-02-08 20:08:15] init offline download tool ThunderX success: ok 
[36mINFO[0m[2026-02-08 20:08:15] init offline download tool 115 Cloud success: ok 
[36mINFO[0m[2026-02-08 20:08:15] init offline download tool 123Pan success: ok 
[33mWARN[0m[2026-02-08 20:08:15] init offline download tool aria2 failed: failed get aria2 version: Post "http://localhost:6800/jsonrpc": dial tcp 127.0.0.1:6800: connect: connection refused 
[36mINFO[0m[2026-02-08 20:08:15] init offline download tool SimpleHttp success: ok 
[36mINFO[0m[2026-02-08 20:08:15] init offline download tool PikPak success: ok 
[36mINFO[0m[2026-02-08 20:08:15] init offline download tool ThunderBrowser success: ok 
[33mWARN[0m[2026-02-08 20:08:15] init offline download tool Transmission failed: failed get transmission version: can't get session values: 'session-get' rpc method failed: failed to execute HTTP request: Post "http://localhost:9091/transmission/rpc": dial tcp 127.0.0.1:9091: connect: connection refused 
[GIN] 2026/02/08 - 20:16:12 | 200 |     335.167µs |       127.0.0.1 | GET      "/api/admin/driver/names"
[GIN] 2026/02/08 - 20:16:12 | 200 |     956.958µs |       127.0.0.1 | GET      "/api/admin/storage/list"
[GIN] 2026/02/08 - 20:17:13 | 200 |     219.375µs |       127.0.0.1 | GET      "/assets/PublicKeys-V_MnA-Pk.js"
[GIN] 2026/02/08 - 20:17:13 | 200 |       181.5µs |       127.0.0.1 | GET      "/assets/Profile-DcFGTgob.js"
[GIN] 2026/02/08 - 20:17:24 | 200 |    1.462041ms |       127.0.0.1 | POST     "/api/me/update"
[GIN] 2026/02/08 - 20:17:31 | 200 |     524.334µs |       127.0.0.1 | POST     "/api/auth/login/hash"
[GIN] 2026/02/08 - 20:17:31 | 200 |      85.125µs |       127.0.0.1 | GET      "/api/me"
[GIN] 2026/02/08 - 20:17:37 | 200 |     935.708µs |       127.0.0.1 | POST     "/api/me/update"
[GIN] 2026/02/08 - 20:17:43 | 200 |     296.666µs |       127.0.0.1 | POST     "/api/auth/login/hash"
[GIN] 2026/02/08 - 20:17:43 | 200 |      81.084µs |       127.0.0.1 | GET      "/api/me"
[GIN] 2026/02/08 - 20:17:49 | 200 |     219.958µs |       127.0.0.1 | GET      "/assets/backup-restore-Bohf79yf.js"
[GIN] 2026/02/08 - 20:18:04 | 200 |     210.958µs |       127.0.0.1 | GET      "/api/admin/driver/names"
[GIN] 2026/02/08 - 20:18:04 | 200 |     536.166µs |       127.0.0.1 | GET      "/api/admin/storage/list"
[GIN] 2026/02/08 - 20:18:07 | 200 |       32.25µs |       127.0.0.1 | GET      "/assets/Wether-LjIezK3B.js"
[GIN] 2026/02/08 - 20:18:07 | 200 |      68.917µs |       127.0.0.1 | GET      "/assets/Metas-DYBMxirU.js"
[GIN] 2026/02/08 - 20:18:07 | 200 |         615µs |       127.0.0.1 | GET      "/api/admin/meta/list"
[GIN] 2026/02/08 - 20:18:08 | 200 |      120.25µs |       127.0.0.1 | GET      "/assets/Shares-CV434-bF.js"
[GIN] 2026/02/08 - 20:18:08 | 200 |     398.666µs |       127.0.0.1 | GET      "/api/share/list"
[GIN] 2026/02/08 - 20:18:09 | 200 |     127.291µs |       127.0.0.1 | GET      "/api/admin/driver/names"
[GIN] 2026/02/08 - 20:18:09 | 200 |     380.667µs |       127.0.0.1 | GET      "/api/admin/storage/list"
